180,G-2501-E-Y-04-40,Drinking water,Environmental,"Livestock Market, Bayad",Livestock Market,Aravalli,07-01-2025,Negative
181,G-2501-E-Y-04-21,Animal milk,Clinical,"Livestock Market, Bayad",Livestock Market,Aravalli,07-01-2025,Negative
182,G-2501-E-Y-08-05,Slurry,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
183,G-2501-E-Y-08-11,Slurry,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
184,G-2501-E-Y-08-17,Slurry,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
185,G-2501-E-Y-08-23,Slurry,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
186,G-2501-E-Y-08-29,Slurry,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
187,G-2501-E-Y-08-03,Pool milk,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
188,G-2501-E-Y-08-09,Pool milk,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
189,G-2501-E-Y-08-15,Pool milk,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
190,G-2501-E-Y-08-21,Pool milk,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
191,G-2501-E-Y-08-27,Pool milk,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
192,G-2501-E-Y-08-06,Manger swab,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
193,G-2501-E-Y-08-12,Manger swab,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
194,G-2501-E-Y-08-18,Manger swab,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
195,G-2501-E-Y-08-24,Manger swab,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
196,G-2501-E-Y-08-30,Manger swab,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
197,G-2501-E-Y-08-02,Lefover feed,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
198,G-2501-E-Y-08-08,Lefover feed,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
199,G-2501-E-Y-08-14,Lefover feed,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
200,G-2501-E-Y-08-20,Lefover feed,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
201,G-2501-E-Y-08-26,Lefover feed,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
202,G-2501-E-Y-08-01,Dung pile,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
203,G-2501-E-Y-08-07,Dung pile,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
204,G-2501-E-Y-08-13,Dung pile,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
205,G-2501-E-Y-08-19,Dung pile,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
206,G-2501-E-Y-08-25,Dung pile,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
207,G-2501-E-Y-08-04,Drinking water,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
208,G-2501-E-Y-08-10,Drinking water,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
209,G-2501-E-Y-08-16,Drinking water,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
210,G-2501-E-Y-08-22,Drinking water,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
211,G-2501-E-Y-08-28,Drinking water,Environmental,"Livestock Market, Jetada",Livestock Market,Banaskantha,10-01-2025,Negative
212,G-2502-E-Y-04-05,Slurry,Environmental,"Livestock Market, Bayad",Livestock Market,Aravalli,04-02-2025,Negative
213,G-2502-E-Y-04-11,Slurry,Environmental,"Livestock Market, Bayad",Livestock Market,Aravalli,04-02-2025,Negative
